codigo_uc;bioma;area
0000.00.1314;Amazônia;2152.0
0000.00.1315;Amazônia;705.0
0000.00.1316;Amazônia;347.0
0000.00.1317;Cerrado;150.0
0000.00.1318;Cerrado;117.0
0000.00.1319;Cerrado;101.0
0000.00.1320;Amazônia;75.0
0000.00.1321;Cerrado;41.0
0000.00.1322;Amazônia;38.0
0000.00.1323;Amazônia;8.0
0000.00.1324;Amazônia;3.0
0000.00.1325;Cerrado;7446.0
0000.00.1326;Cerrado;2904.0
0000.00.1327;Cerrado;1285.0
0000.00.1328;Cerrado;1582.0
0000.00.1329;Cerrado;962.0
0000.00.1330;Cerrado;971.0
0000.00.1331;Cerrado;800.0
0000.00.1332;Cerrado;636.0
0000.00.1333;Cerrado;596.0
0000.00.1335;Cerrado;469.0
0000.00.1336;Cerrado;387.0
0000.00.1337;Cerrado;269.0
0000.00.1338;Cerrado;215.0
0000.00.1339;Cerrado;173.0
0000.00.1340;Cerrado;142.0
0000.00.1341;Cerrado;137.0
0000.00.1342;Cerrado;125.0
0000.00.1343;Cerrado;110.0
0000.00.1344;Cerrado;108.0
0000.00.1345;Cerrado;91.0
0000.00.1346;Cerrado;93.0
0000.00.1347;Cerrado;82.0
0000.00.1348;Cerrado;81.0
0000.00.1349;Cerrado;78.0
0000.00.1350;Cerrado;65.0
0000.00.1351;Cerrado;60.0
0000.00.1352;Cerrado;49.0
0000.00.1353;Cerrado;48.0
0000.00.1354;Cerrado;43.0
0000.00.1355;Cerrado;44.0
0000.00.1357;Cerrado;36.0
0000.00.1359;Cerrado;30.0
0000.00.1360;Cerrado;23.0
0000.00.1361;Cerrado;17.0
0000.00.1362;Cerrado;14.0
0000.00.1363;Cerrado;13.0
0000.00.1364;Cerrado;7.0
0000.00.1365;Cerrado;5.0
0000.00.1366;Cerrado;5.0
0000.00.1367;Cerrado;3.0
0000.00.1368;Cerrado;1.0
0000.00.1370;Mata Atlântica;29.0
0000.00.1371;Mata Atlântica;28.0
0000.00.1372;Cerrado;126.0
0000.00.1373;Cerrado;8.0
0000.00.1374;Cerrado;3.0
0000.00.1375;Cerrado;5.0
0000.00.1377;Caatinga;2586.0
0000.00.1378;Caatinga;495.0
0000.00.1379;Caatinga;460.0
0000.00.1380;Caatinga;441.0
0000.00.1381;Caatinga;300.0
0000.00.1382;Caatinga;260.0
0000.00.1383;Caatinga;200.0
0000.00.1384;Caatinga;52.0
0000.00.1385;Caatinga;27.0
0000.00.1387;Caatinga;4750.0
0000.00.1388;Caatinga;3000.0
0000.00.1389;Caatinga;1500.0
0000.00.1390;Caatinga;1500.0
0000.00.1391;Caatinga;1700.0
0000.00.1392;Caatinga;2000.0
0000.00.1393;Caatinga;1800.0
0000.00.1394;Mata Atlântica;1377.0
0000.00.1395;Caatinga;1259.0
0000.00.1396;Cerrado;1050.0
0000.00.1397;Caatinga;1000.0
0000.00.1398;Caatinga;299.0
0000.00.1399;Cerrado;633.0
0000.00.1400;Cerrado;501.0
0000.00.1401;Mata Atlântica;311.0
0000.00.1401;Área Marinha;153.0
0000.00.1402;Mata Atlântica;445.0
0000.00.1403;Mata Atlântica;385.0
0000.00.1404;Mata Atlântica;374.0
0000.00.1405;Mata Atlântica;363.0
0000.00.1406;Mata Atlântica;346.0
0000.00.1407;Mata Atlântica;257.0
0000.00.1408;Caatinga;220.0
0000.00.1409;Mata Atlântica;213.0
0000.00.1410;Mata Atlântica;198.0
0000.00.1411;Cerrado;162.0
0000.00.1412;Mata Atlântica;117.0
0000.00.1413;Mata Atlântica;84.0
0000.00.1413;Área Marinha;25.0
0000.00.1414;Caatinga;109.0
0000.00.1415;Mata Atlântica;100.0
0000.00.1416;Mata Atlântica;97.0
0000.00.1417;Mata Atlântica;94.0
0000.00.1418;Mata Atlântica;87.0
